"Post.Code","covidest","covidprobinc","SE1est","SE1probinc"
"EH29",0.00160691434608244,0.521333333333333,0.000768515101469296,0.510666666666667
"EH3",-0.0077286281703248,0.355666666666667,-0.00634342514493066,0.355
"EH30",-0.0116877864247268,0.379333333333333,-0.0106629527379916,0.380333333333333
"EH31",-0.0257157059348535,0.205,-0.0216696270979406,0.199333333333333
"EH32",-0.00562691780927073,0.425,-0.004747224216627,0.425333333333333
"EH33",-0.00672642391937067,0.420333333333333,-0.00474865322120446,0.424666666666667
"EH34",-0.0247837596439604,0.213666666666667,-0.0210217697250896,0.209333333333333
"EH35",-0.0214857716405044,0.225333333333333,-0.0176029162885069,0.220666666666667
"EH37",-0.0268591697359089,0.148333333333333,-0.0223821923462472,0.148333333333333
"EH39",-0.0345167749933474,0.159666666666667,-0.0298013993007006,0.157
"EH4",0.0251273885376066,0.871,0.0211288342243654,0.872333333333333
"EH40",-0.045497809181323,0.104333333333333,-0.0391548551095476,0.11
"EH41",-0.0168391323092769,0.260666666666667,-0.01442872324517,0.261
"EH42",-0.0339620079381241,0.0983333333333333,-0.0284590564405142,0.097
"EH44",-0.0159311640880423,0.343666666666667,-0.0136751118585808,0.335333333333333
"EH45",0.00445086215186292,0.565333333333333,0.00340464383226071,0.561
"EH46",0.0052640838928447,0.561333333333333,0.00421463275799271,0.567333333333333
"EH47",0.00551777370888551,0.596333333333333,0.00443208853623903,0.593666666666667
"EH48",0.00454332287716619,0.585666666666667,0.00364374633005657,0.589666666666667
"EH49",-0.0265394630015554,0.2,-0.0224337689515789,0.198
"EH5",-0.0132059146565748,0.289666666666667,-0.0109213173301097,0.287333333333333
"EH51",-0.0238639958375046,0.154666666666667,-0.0204950928209132,0.146
"EH52",-0.0239086794379454,0.155333333333333,-0.0206397024052499,0.153666666666667
"EH53",-0.0114408418490972,0.338666666666667,-0.00961510211152148,0.332
"EH54",-0.0172767550976283,0.173666666666667,-0.0150643839060415,0.18
"EH55",0.0240851702423723,0.819666666666667,0.0200160582256501,0.819333333333333
"EH6",-0.0152092529100729,0.280666666666667,-0.0136028135353166,0.274333333333333
"EH7",-0.0175697909550637,0.209666666666667,-0.0150657207210007,0.213333333333333
"EH8",-0.069168196461044,0.00533333333333333,-0.0599042980687426,0.005
"EH9",-0.0150884825345786,0.234666666666667,-0.0123327338286189,0.232666666666667
"FK1",-0.0233120722694899,0.131666666666667,-0.0198781629027132,0.128
"FK10",-0.0386597973445838,0.0476666666666667,-0.033534187263671,0.0436666666666667
"FK11",-0.00350821724171466,0.445666666666667,-0.00369336766707807,0.426333333333333
"FK12",-0.0168286746303018,0.273,-0.0149832748708301,0.257666666666667
"FK13",0.00187292946380282,0.529,0.00121449990894115,0.516666666666667
"FK14",-0.0214017291001156,0.204,-0.0191542556604337,0.19
"FK15",0.00297949034302425,0.554333333333333,0.00198463067518477,0.540666666666667
"FK16",-0.00553631863375646,0.413333333333333,-0.00519062059702395,0.402
"FK17",-0.00562269973204055,0.409666666666667,-0.00567929397053561,0.399666666666667
"FK2",-0.0145620547661978,0.216,-0.0126623448970788,0.215333333333333
"FK3",-0.0141591842844568,0.266666666666667,-0.0120826906686717,0.251
"FK4",0.000912226040607741,0.512666666666667,0.000403808974233755,0.506
"FK5",-0.0305040569712057,0.110333333333333,-0.0265950305792103,0.107333333333333
"FK6",-0.0186354116592022,0.228666666666667,-0.0162596366988483,0.224666666666667
"FK7",-0.0188669327030552,0.199,-0.0163108218309645,0.187333333333333
"FK8",-0.0138031482713978,0.264333333333333,-0.0120772243386797,0.252666666666667
"FK9",-0.00714325373928697,0.386333333333333,-0.00701389491713367,0.377
"G11",-0.00992593812015095,0.335,-0.00818275610775936,0.326333333333333
"G12",-0.0178593721967424,0.197333333333333,-0.0155509445000666,0.192333333333333
"G13",4.96495425269389e-05,0.500666666666667,-0.000237088241875211,0.494333333333333
"G14",-0.00627929715171736,0.402333333333333,-0.00527017973565178,0.409
"G15",-0.0164752650754217,0.224333333333333,-0.0143618788081862,0.223
"G2",0.0197016528928311,0.73,0.0172831344899683,0.733333333333333
"G20",-0.00759527884482451,0.359,-0.00658694426875349,0.362333333333333
"G21",-0.0118813351939676,0.279,-0.0102545890982248,0.277333333333333
"G22",0.0112218412122114,0.696333333333333,0.00924874209445169,0.702
"G23",-0.0168699074264556,0.271,-0.0150345069567773,0.269
"G3",0.00636424007756502,0.600333333333333,0.0053972297229183,0.608
"G31",-0.00741167325772976,0.362,-0.00619983230956068,0.362333333333333
"G32",-0.0111102695561008,0.258,-0.00964422185637934,0.257666666666667
"G33",0.00771642276659898,0.642333333333333,0.00643413404878149,0.634333333333333
"G34",-0.0107090395907843,0.306,-0.00890348371933711,0.305666666666667
"G4",-0.00136007022722268,0.481,-0.0010150449188866,0.484333333333333
"G40",0.00194066551808834,0.532666666666667,0.0015695776623289,0.530666666666667
"G41",-0.0273198997351604,0.0896666666666667,-0.023503404434342,0.0846666666666667
"G42",0.0224322339683557,0.869666666666667,0.0196625439007575,0.862333333333333
"G43",-0.027776025493497,0.123666666666667,-0.0239797740465052,0.124
"G44",-0.0161446224448668,0.252666666666667,-0.0137463202331209,0.251666666666667
"G45",-0.0596011823848645,0.00266666666666667,-0.0521035970453475,0.003
"G46",-0.0507626687670178,0.0133333333333333,-0.0441550868754075,0.015
"G5",0.017746862692507,0.743333333333333,0.0147236352551773,0.751
"G51",-0.0230377662404938,0.132333333333333,-0.0193367357106556,0.135333333333333
"G52",-0.0331018313132707,0.0463333333333333,-0.0281369517252085,0.05
"G53",-0.0361239402335331,0.0233333333333333,-0.0306898667931215,0.0203333333333333
"G60",-0.0595645725747452,0.027,-0.0521378810099567,0.0276666666666667
"G61",0.0206510235804643,0.785666666666667,0.0179141709315039,0.786666666666667
"G62",-0.00717815525899834,0.391,-0.0056483511558721,0.386333333333333
"G63",-0.0328233594640577,0.069,-0.0280034199416716,0.0673333333333333
"G64",0.0170912390914481,0.732333333333333,0.0149907590893095,0.735
"G65",-0.0125766295035061,0.339,-0.0117380135917686,0.329
"G66",-0.000466382037977456,0.493333333333333,-0.00138699266710163,0.475
"G67",0.0290646697502168,0.874,0.0248899970408745,0.872333333333333
"G68",-0.00926172530375469,0.378,-0.00846727753620548,0.374666666666667
"G69",-0.0262754440180011,0.112333333333333,-0.0224432042580274,0.107666666666667
"G71",-0.0175598190487213,0.174,-0.0147858575875163,0.172333333333333
"G72",-0.0112601196373474,0.279,-0.00961900751042517,0.28
"G73",-0.0122707065411441,0.294,-0.0107387796717807,0.287333333333333
"G74",-0.0434776307402585,0.0296666666666667,-0.0373649902192936,0.0263333333333333
"G75",-0.018794906357559,0.205666666666667,-0.0174971133331569,0.203666666666667
"G76",-0.0754909171502079,0.00266666666666667,-0.0662105896378933,0.003
"G77",-0.0249298824278747,0.159,-0.0210984595617592,0.159
"G78",-0.0058063522954459,0.405333333333333,-0.00495246133565051,0.411666666666667
"G81",-0.0507693464849052,0.00166666666666667,-0.0435009941325365,0.00166666666666667
"G82",-0.0295452651193002,0.0516666666666667,-0.0250546847207237,0.0523333333333333
"G83",-0.0242055164685266,0.154333333333333,-0.0210113938721182,0.152
"G84",-0.0212864350030487,0.207333333333333,-0.0183305017412315,0.211
"HS1",0.0167493557455223,0.666666666666667,0.0128629389327902,0.655666666666667
"HS2",-0.01464183688849,0.35,-0.013411855207882,0.343
"HS3",0.0054575151290653,0.571,0.00410788169214863,0.558
"HS6",-0.00143582185163493,0.485666666666667,-0.00175818870896568,0.477333333333333
"HS8",0.00064206154795321,0.505333333333333,-0.000135205355402103,0.496333333333333
"IV1",-0.0287167225856732,0.134,-0.0245324376142365,0.128
"IV10",-0.0280174059038557,0.145,-0.0240024460067059,0.131666666666667
"IV12",-0.035882280592498,0.115,-0.0316391471880069,0.104
"IV14",-0.0250961192170907,0.182333333333333,-0.0214283044666892,0.183
"IV15",-0.024236683729585,0.188666666666667,-0.0207465454370742,0.178666666666667
"IV16",-0.0399270954150331,0.0816666666666667,-0.0345238010509565,0.0776666666666667
"IV17",-0.0304660593002503,0.132,-0.0260278662164271,0.131666666666667
"IV18",-0.0392830577078719,0.068,-0.0339585146990978,0.061
"IV19",-0.0169127755654191,0.269,-0.0150240864680286,0.263333333333333
"IV2",-0.0287957137482631,0.0836666666666667,-0.0250628171668083,0.0786666666666667
"IV20",-0.0210649451094331,0.232666666666667,-0.0187903302846339,0.23
"IV25",-0.0345376922573587,0.153333333333333,-0.0304917239185356,0.146666666666667
"IV26",-0.0139754661864781,0.317666666666667,-0.0126040791414959,0.31
"IV27",-0.0126775986717465,0.345666666666667,-0.0113511008772749,0.342666666666667
"IV3",-0.046941845829885,0.01,-0.0405539336867301,0.011
"IV30",-0.0716037405968066,0.00133333333333333,-0.0618163329361268,0.001
